City,Census Tract,TANC Local,Match_ID,NAME,Total,White,Black,Asian,Hispanic,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B23025_005E,B23025_002E,C16002_004E,C16002_007E,C16002_001E,state,county,Tract_ID,Rent Burden,Unemployment Rate,% Spanish LE,% Asian LE
Albany,420600,Berkeley,420600,Census Tract 4206; Alameda County; California,3521.0,2282.0,39.0,484.0,255.0,0.0,6.0,10.0,76.0,233.0,62.0,1829.0,0.0,0.0,1333.0,06,001,420600,39.5,3.4,0.0,0.0
Albany,420100,Berkeley,420100,Census Tract 4201; Alameda County; California,2656.0,1307.0,144.0,500.0,342.0,29.0,29.0,0.0,36.0,188.0,94.0,1409.0,0.0,0.0,1028.0,06,001,420100,50.0,6.7,0.0,0.0
Albany,420200,Berkeley,420200,Census Tract 4202; Alameda County; California,3225.0,1135.0,150.0,1263.0,241.0,26.0,81.0,8.0,74.0,655.0,60.0,2004.0,0.0,0.0,1262.0,06,001,420200,28.9,3.0,0.0,0.0
Albany,420500,Berkeley,420500,Census Tract 4205; Alameda County; California,2474.0,1181.0,60.0,549.0,485.0,29.0,18.0,25.0,102.0,455.0,69.0,1335.0,0.0,0.0,930.0,06,001,420500,38.2,5.2,0.0,0.0
Albany,420401,Berkeley,420401,Census Tract 4204.01; Alameda County; California,1438.0,398.0,7.0,470.0,438.0,46.0,7.0,46.0,153.0,456.0,4.0,617.0,0.0,0.0,456.0,06,001,420401,55.3,0.6,0.0,0.0
Albany,420402,Berkeley,420402,Census Tract 4204.02; Alameda County; California,1607.0,524.0,53.0,558.0,404.0,19.0,39.0,41.0,181.0,602.0,30.0,883.0,15.0,0.0,602.0,06,001,420402,46.5,3.4,2.5,0.0
Albany,420301,Berkeley,420301,Census Tract 4203.01; Alameda County; California,2466.0,894.0,82.0,1011.0,229.0,43.0,28.0,10.0,108.0,436.0,21.0,1367.0,0.0,0.0,1101.0,06,001,420301,43.3,1.5,0.0,0.0
Albany,420302,Berkeley,420302,Census Tract 4203.02; Alameda County; California,2381.0,967.0,112.0,855.0,168.0,41.0,65.0,81.0,129.0,534.0,28.0,1290.0,0.0,0.0,961.0,06,001,420302,59.2,2.2,0.0,0.0
Berkeley,421100,Berkeley,421100,Census Tract 4211; Alameda County; California,2127.0,1572.0,38.0,216.0,79.0,0.0,0.0,0.0,0.0,95.0,49.0,1154.0,0.0,5.0,872.0,06,001,421100,0.0,4.2,0.0,0.6
Berkeley,421200,Berkeley,421200,Census Tract 4212; Alameda County; California,3503.0,2371.0,9.0,696.0,120.0,9.0,6.0,0.0,0.0,66.0,109.0,1745.0,0.0,0.0,1378.0,06,001,421200,22.7,6.2,0.0,0.0
Berkeley,421300,Berkeley,421300,Census Tract 4213; Alameda County; California,4041.0,2886.0,9.0,573.0,124.0,26.0,9.0,17.0,93.0,336.0,98.0,2049.0,0.0,0.0,1841.0,06,001,421300,43.2,4.8,0.0,0.0
Berkeley,421400,Berkeley,421400,Census Tract 4214; Alameda County; California,1770.0,1302.0,18.0,129.0,246.0,0.0,0.0,9.0,22.0,77.0,8.0,913.0,0.0,0.0,652.0,06,001,421400,40.3,0.9,0.0,0.0
Berkeley,421500,Berkeley,421500,Census Tract 4215; Alameda County; California,4122.0,3322.0,46.0,316.0,250.0,9.0,13.0,52.0,36.0,287.0,87.0,2094.0,0.0,10.0,1589.0,06,001,421500,38.3,4.2,0.0,0.6
Berkeley,421600,Berkeley,421600,Census Tract 4216; Alameda County; California,3896.0,2727.0,79.0,404.0,288.0,0.0,37.0,66.0,41.0,340.0,66.0,1991.0,11.0,8.0,1557.0,06,001,421600,42.4,3.3,0.7,0.5
Berkeley,421700,Berkeley,421700,Census Tract 4217; Alameda County; California,3427.0,2364.0,125.0,711.0,143.0,44.0,52.0,44.0,243.0,1103.0,80.0,1912.0,0.0,80.0,1643.0,06,001,421700,34.7,4.2,0.0,4.9
Berkeley,421800,Berkeley,421800,Census Tract 4218; Alameda County; California,2193.0,1444.0,32.0,309.0,124.0,12.0,20.0,33.0,24.0,316.0,25.0,1287.0,0.0,0.0,888.0,06,001,421800,28.2,1.9,0.0,0.0
Berkeley,421900,Berkeley,421900,Census Tract 4219; Alameda County; California,4109.0,2351.0,399.0,741.0,264.0,18.0,45.0,67.0,141.0,638.0,49.0,2459.0,6.0,8.0,1698.0,06,001,421900,42.5,2.0,0.4,0.5
Berkeley,422000,Berkeley,422000,Census Tract 4220; Alameda County; California,2346.0,1140.0,129.0,541.0,224.0,85.0,38.0,129.0,276.0,1014.0,16.0,1742.0,0.0,0.0,1233.0,06,001,422000,52.1,0.9,0.0,0.0
Berkeley,422100,Berkeley,422100,Census Tract 4221; Alameda County; California,3103.0,1590.0,239.0,420.0,571.0,73.0,20.0,79.0,191.0,686.0,102.0,1903.0,7.0,0.0,1416.0,06,001,422100,52.9,5.4,0.5,0.0
Berkeley,422200,Berkeley,422200,Census Tract 4222; Alameda County; California,3239.0,1847.0,107.0,503.0,254.0,64.0,35.0,20.0,132.0,772.0,98.0,1857.0,38.0,12.0,1447.0,06,001,422200,32.5,5.3,2.6,0.8
Berkeley,422300,Berkeley,422300,Census Tract 4223; Alameda County; California,3626.0,1951.0,393.0,738.0,178.0,47.0,48.0,124.0,255.0,1115.0,146.0,2051.0,0.0,0.0,1697.0,06,001,422300,42.5,7.1,0.0,0.0
