total_pop,pop_white_non_hisp,pop_black,pop_asian,pop_hispanic,median_hh_income,pop_poverty,pop_poverty_total,labor_force,unemployed,median_gross_rent,housing_units_total,housing_units_vacant,median_year_built,avg_household_size,renter_households_total,burden_30_35,burden_35_40,burden_40_50,burden_50_plus,state,county,tract,id,pct_white,pct_black,pct_asian,pct_hispanic,unemployment,poverty_rate,vacancy_rate,occupancy_rate,rent_burden
2696.0,703.0,1188.0,410.0,228.0,19866.0,1128.0,2577.0,1163.0,220.0,538.0,1844.0,192.0,1975.0,1.44,1531.0,239.0,99.0,163.0,343.0,06,001,402800,402800,26.1,44.1,15.2,8.5,18.9,43.8,10.4,89.6,55.1
5037.0,3145.0,185.0,827.0,359.0,132097.0,185.0,4987.0,3080.0,126.0,2001.0,2418.0,243.0,1988.0,2.32,316.0,55.0,0.0,0.0,46.0,06,001,404400,404400,62.4,3.7,16.4,7.1,4.1,3.7,10.0,90.0,32.0
2275.0,789.0,1092.0,298.0,86.0,60811.0,278.0,2275.0,1281.0,80.0,1144.0,1175.0,85.0,1939.0,2.08,658.0,27.0,10.0,38.0,226.0,06,001,400900,400900,34.7,48.0,13.1,3.8,6.2,12.2,7.2,92.8,45.7
892.0,130.0,215.0,531.0,11.0,22927.0,214.0,892.0,447.0,52.0,759.0,609.0,83.0,1974.0,1.7,425.0,87.0,43.0,24.0,76.0,06,001,402600,402600,14.6,24.1,59.5,1.2,11.6,24.0,13.6,86.4,54.1
3473.0,2073.0,371.0,456.0,362.0,152656.0,160.0,3353.0,1881.0,125.0,1918.0,1434.0,65.0,1953.0,2.44,282.0,31.0,10.0,10.0,46.0,06,001,404200,404200,59.7,10.7,13.1,10.4,6.6,4.8,4.5,95.5,34.4
3487.0,553.0,832.0,1226.0,778.0,35964.0,743.0,3487.0,1955.0,224.0,1121.0,1707.0,134.0,1941.0,2.22,1220.0,187.0,73.0,120.0,380.0,06,001,405500,405500,15.9,23.9,35.2,22.3,11.5,21.3,7.9,92.1,62.3
3088.0,589.0,848.0,1181.0,383.0,43750.0,508.0,3088.0,1841.0,202.0,1021.0,1527.0,132.0,1939.0,2.21,1091.0,106.0,67.0,124.0,269.0,06,001,405600,405600,19.1,27.5,38.2,12.4,11.0,16.5,8.6,91.4,51.9
4644.0,1831.0,530.0,1455.0,541.0,68403.0,194.0,4642.0,2636.0,245.0,1128.0,2061.0,174.0,1964.0,2.46,1024.0,205.0,59.0,104.0,172.0,06,001,427300,427300,39.4,11.4,31.3,11.6,9.3,4.2,8.4,91.6,52.7
5190.0,1145.0,834.0,2018.0,792.0,49183.0,1051.0,5190.0,2882.0,289.0,1336.0,1809.0,92.0,1966.0,3.02,1406.0,76.0,63.0,170.0,333.0,06,001,427600,427600,22.1,16.1,38.9,15.3,10.0,20.3,5.1,94.9,45.7
4622.0,2634.0,103.0,948.0,618.0,67500.0,221.0,4622.0,2869.0,309.0,1212.0,2245.0,129.0,1939.0,2.18,1256.0,129.0,129.0,36.0,322.0,06,001,427900,427900,57.0,2.2,20.5,13.4,10.8,4.8,5.7,94.3,49.0
7112.0,3187.0,174.0,2978.0,313.0,132477.0,110.0,7105.0,3495.0,291.0,2001.0,2699.0,30.0,1985.0,2.66,351.0,13.0,16.0,12.0,98.0,06,001,428302,428302,44.8,2.4,41.9,4.4,8.3,1.5,1.1,98.9,39.6
3067.0,1222.0,128.0,1270.0,193.0,82026.0,256.0,2955.0,1621.0,86.0,1529.0,1617.0,202.0,1971.0,2.08,649.0,65.0,0.0,49.0,38.0,06,001,428600,428600,39.8,4.2,41.4,6.3,5.3,8.7,12.5,87.5,23.4
5715.0,3292.0,93.0,1441.0,760.0,74750.0,284.0,5707.0,2971.0,150.0,1328.0,2183.0,137.0,1959.0,2.79,650.0,140.0,62.0,71.0,94.0,06,001,430800,430800,57.6,1.6,25.2,13.3,5.0,5.0,6.3,93.7,56.5
5819.0,1503.0,751.0,2143.0,1116.0,57391.0,491.0,5694.0,3131.0,447.0,1333.0,2109.0,61.0,1959.0,2.84,947.0,107.0,13.0,23.0,180.0,06,001,433600,433600,25.8,12.9,36.8,19.2,14.3,8.6,2.9,97.1,34.1
3482.0,833.0,57.0,353.0,1944.0,71576.0,260.0,3473.0,1758.0,242.0,1432.0,911.0,74.0,1956.0,4.16,171.0,0.0,0.0,23.0,60.0,06,001,437400,437400,23.9,1.6,10.1,55.8,13.8,7.5,8.1,91.9,48.5
4256.0,727.0,286.0,859.0,1837.0,63542.0,443.0,4256.0,2190.0,314.0,1333.0,1204.0,96.0,1961.0,3.84,223.0,39.0,0.0,9.0,40.0,06,001,438201,438201,17.1,6.7,20.2,43.2,14.3,10.4,8.0,92.0,39.5
6323.0,1060.0,544.0,737.0,3620.0,48258.0,1276.0,6311.0,3153.0,484.0,1168.0,1879.0,111.0,1959.0,3.57,1062.0,132.0,7.0,238.0,279.0,06,001,436900,436900,16.8,8.6,11.7,57.3,15.4,20.2,5.9,94.1,61.8
3060.0,606.0,485.0,737.0,1046.0,74531.0,56.0,3056.0,1901.0,200.0,1729.0,1241.0,105.0,1962.0,2.67,312.0,11.0,33.0,6.0,60.0,06,001,437000,437000,19.8,15.8,24.1,34.2,10.5,1.8,8.5,91.5,35.3
3881.0,287.0,460.0,1364.0,1426.0,74306.0,235.0,3862.0,1824.0,196.0,1781.0,917.0,53.0,1956.0,4.44,197.0,20.0,54.0,17.0,35.0,06,001,438300,438300,7.4,11.9,35.1,36.7,10.7,6.1,5.8,94.2,64.0
4630.0,503.0,299.0,2997.0,608.0,97542.0,157.0,4628.0,2716.0,293.0,1461.0,1387.0,106.0,1976.0,3.6,438.0,0.0,68.0,37.0,123.0,06,001,440304,440304,10.9,6.5,64.7,13.1,10.8,3.4,7.6,92.4,52.1
5281.0,1237.0,176.0,2987.0,713.0,100977.0,437.0,5281.0,2800.0,220.0,1723.0,1764.0,103.0,1981.0,3.17,348.0,17.0,33.0,40.0,90.0,06,001,441402,441402,23.4,3.3,56.6,13.5,7.9,8.3,5.8,94.2,51.7
5263.0,1195.0,360.0,2986.0,565.0,94632.0,318.0,5263.0,2752.0,220.0,1795.0,1508.0,15.0,1975.0,3.52,349.0,113.0,41.0,2.0,41.0,06,001,441522,441522,22.7,6.8,56.7,10.7,8.0,6.0,1.0,99.0,56.4
6902.0,2451.0,153.0,2585.0,1248.0,75148.0,188.0,6799.0,3609.0,292.0,1593.0,2446.0,71.0,1973.0,2.85,931.0,155.0,84.0,95.0,178.0,06,001,441800,441800,35.5,2.2,37.5,18.1,8.1,2.8,2.9,97.1,55.0
3710.0,661.0,120.0,1461.0,1153.0,96194.0,209.0,3702.0,2073.0,256.0,1904.0,1323.0,90.0,1988.0,2.99,884.0,134.0,95.0,32.0,69.0,06,001,441921,441921,17.8,3.2,39.4,31.1,12.3,5.6,6.8,93.2,37.3
3347.0,835.0,0.0,2199.0,158.0,154028.0,164.0,3347.0,1749.0,112.0,2001.0,1060.0,0.0,1979.0,3.15,26.0,15.0,11.0,0.0,0.0,06,001,442000,442000,24.9,0.0,65.7,4.7,6.4,4.9,0.0,100.0,100.0
5092.0,848.0,23.0,3898.0,177.0,153295.0,213.0,5092.0,2307.0,82.0,2001.0,1710.0,109.0,1972.0,3.18,226.0,0.0,7.0,36.0,14.0,06,001,442100,442100,16.7,0.5,76.6,3.5,3.6,4.2,6.4,93.6,25.2
6616.0,1562.0,48.0,4672.0,183.0,142120.0,178.0,6609.0,3094.0,179.0,2001.0,2186.0,101.0,1966.0,3.16,438.0,78.0,17.0,37.0,114.0,06,001,442200,442200,23.6,0.7,70.6,2.8,5.8,2.7,4.6,95.4,56.2
3428.0,336.0,243.0,1992.0,744.0,72679.0,103.0,3428.0,1748.0,160.0,1406.0,985.0,102.0,1978.0,3.88,478.0,76.0,45.0,77.0,157.0,06,001,440331,440331,9.8,7.1,58.1,21.7,9.2,3.0,10.4,89.6,74.3
5480.0,1997.0,183.0,2197.0,779.0,100313.0,292.0,5480.0,2738.0,164.0,1464.0,1913.0,125.0,1974.0,3.04,502.0,15.0,74.0,72.0,31.0,06,001,441302,441302,36.4,3.3,40.1,14.2,6.0,5.3,6.5,93.5,38.2
4578.0,1481.0,1105.0,1285.0,371.0,35234.0,1422.0,4578.0,2666.0,143.0,952.0,2559.0,218.0,1956.0,1.95,2143.0,203.0,200.0,125.0,552.0,06,001,403501,403501,32.4,24.1,28.1,8.1,5.4,31.1,8.5,91.5,50.4
2062.0,1040.0,466.0,191.0,303.0,64095.0,204.0,2048.0,1506.0,116.0,1186.0,1323.0,129.0,1959.0,1.71,828.0,37.0,31.0,81.0,95.0,06,001,403502,403502,50.4,22.6,9.3,14.7,7.7,10.0,9.8,90.2,29.5
2625.0,1515.0,391.0,299.0,202.0,58359.0,266.0,2597.0,1651.0,20.0,1111.0,1986.0,209.0,1959.0,1.45,1631.0,163.0,114.0,112.0,233.0,06,001,403701,403701,57.7,14.9,11.4,7.7,1.2,10.2,10.5,89.5,38.1
1999.0,1172.0,315.0,317.0,106.0,78250.0,186.0,1999.0,1353.0,93.0,1371.0,1184.0,0.0,1947.0,1.69,910.0,88.0,29.0,64.0,165.0,06,001,403702,403702,58.6,15.8,15.9,5.3,6.9,9.3,0.0,100.0,38.0
2510.0,1308.0,257.0,653.0,169.0,54146.0,320.0,2383.0,1443.0,108.0,1058.0,1750.0,212.0,1955.0,1.57,1347.0,109.0,108.0,41.0,194.0,06,001,404102,404102,52.1,10.2,26.0,6.7,7.5,13.4,12.1,87.9,33.6
2724.0,1918.0,33.0,378.0,193.0,61722.0,255.0,2702.0,1902.0,77.0,1169.0,1861.0,218.0,1946.0,1.65,1029.0,83.0,33.0,96.0,174.0,06,001,404101,404101,70.4,1.2,13.9,7.1,4.0,9.4,11.7,88.3,37.5
2636.0,1166.0,576.0,464.0,376.0,49826.0,76.0,2629.0,1855.0,154.0,1122.0,1628.0,115.0,1952.0,1.74,1333.0,176.0,89.0,140.0,204.0,06,001,405301,405301,44.2,21.9,17.6,14.3,8.3,2.9,7.1,92.9,45.7
3009.0,492.0,534.0,973.0,940.0,30262.0,956.0,3009.0,1579.0,233.0,838.0,1594.0,65.0,1955.0,1.97,1487.0,105.0,52.0,116.0,517.0,06,001,405302,405302,16.4,17.7,32.3,31.2,14.8,31.8,4.1,95.9,53.1
4010.0,273.0,894.0,1579.0,1131.0,27226.0,1221.0,3911.0,2304.0,388.0,906.0,1822.0,243.0,1944.0,2.52,1350.0,64.0,154.0,176.0,365.0,06,001,405401,405401,6.8,22.3,39.4,28.2,16.8,31.2,13.3,86.7,56.2
2331.0,682.0,421.0,556.0,618.0,52158.0,273.0,2325.0,1219.0,55.0,942.0,991.0,114.0,1950.0,2.64,470.0,19.0,36.0,18.0,121.0,06,001,406602,406602,29.3,18.1,23.9,26.5,4.5,11.7,11.5,88.5,41.3
3049.0,287.0,460.0,1719.0,580.0,24375.0,1078.0,2958.0,1556.0,293.0,896.0,1264.0,200.0,1943.0,2.77,954.0,107.0,55.0,150.0,389.0,06,001,405402,405402,9.4,15.1,56.4,19.0,18.8,36.4,15.8,84.2,73.5
3403.0,258.0,481.0,1297.0,1119.0,37740.0,1279.0,3374.0,1290.0,328.0,981.0,1121.0,196.0,1939.0,3.64,699.0,55.0,34.0,94.0,255.0,06,001,405901,405901,7.6,14.1,38.1,32.9,25.4,37.9,17.5,82.5,62.7
4481.0,691.0,1282.0,1282.0,887.0,46900.0,846.0,4481.0,2242.0,359.0,1165.0,1877.0,161.0,1954.0,2.61,1086.0,67.0,96.0,158.0,397.0,06,001,406601,406601,15.4,28.6,28.6,19.8,16.0,18.9,8.6,91.4,66.1
3166.0,235.0,276.0,1501.0,952.0,42008.0,1006.0,3155.0,1610.0,165.0,943.0,1048.0,66.0,1951.0,3.22,654.0,69.0,55.0,75.0,155.0,06,001,405902,405902,7.4,8.7,47.4,30.1,10.2,31.9,6.3,93.7,54.1
3926.0,91.0,483.0,1102.0,1855.0,26313.0,1770.0,3926.0,1826.0,383.0,985.0,1114.0,119.0,1958.0,3.95,788.0,32.0,84.0,85.0,325.0,06,001,407101,407101,2.3,12.3,28.1,47.2,21.0,45.1,10.7,89.3,66.8
4172.0,359.0,790.0,675.0,2088.0,41528.0,1392.0,4169.0,2083.0,435.0,1046.0,1427.0,198.0,1939.0,3.39,612.0,5.0,31.0,59.0,351.0,06,001,407102,407102,8.6,18.9,16.2,50.0,20.9,33.4,13.9,86.1,72.9
2320.0,123.0,1316.0,536.0,241.0,18114.0,1094.0,2308.0,967.0,225.0,411.0,1086.0,53.0,1959.0,2.24,913.0,170.0,25.0,139.0,235.0,06,001,410500,410500,5.3,56.7,23.1,10.4,23.3,47.4,4.9,95.1,62.3
1664.0,1133.0,22.0,405.0,50.0,75313.0,80.0,1664.0,1194.0,7.0,1398.0,1283.0,63.0,1974.0,1.36,508.0,0.0,28.0,109.0,16.0,06,001,425101,425101,68.1,1.3,24.3,3.0,0.6,4.8,4.9,95.1,30.1
5060.0,2970.0,405.0,873.0,538.0,79471.0,736.0,5002.0,3059.0,139.0,1339.0,2134.0,112.0,1939.0,2.45,1167.0,132.0,47.0,87.0,345.0,06,001,423000,423000,58.7,8.0,17.3,10.6,4.5,14.7,5.2,94.8,52.4
4314.0,2590.0,138.0,701.0,660.0,81100.0,305.0,4314.0,2486.0,245.0,1204.0,2029.0,133.0,1939.0,2.26,955.0,74.0,50.0,64.0,269.0,06,001,428100,428100,60.0,3.2,16.2,15.3,9.9,7.1,6.6,93.4,47.9
4494.0,2181.0,278.0,1221.0,668.0,64280.0,357.0,4248.0,2670.0,367.0,1329.0,2034.0,196.0,1944.0,2.27,1144.0,141.0,73.0,108.0,160.0,06,001,428400,428400,48.5,6.2,27.2,14.9,13.7,8.4,9.6,90.4,42.1
6511.0,4364.0,62.0,1160.0,626.0,103088.0,172.0,6459.0,3468.0,215.0,2001.0,2424.0,64.0,1961.0,2.72,172.0,55.0,0.0,0.0,0.0,06,001,430200,430200,67.0,1.0,17.8,9.6,6.2,2.7,2.6,97.4,32.0
