total_pop,pop_white_non_hisp,pop_black,pop_asian,pop_hispanic,median_hh_income,pop_poverty,pop_poverty_total,labor_force,unemployed,median_gross_rent,housing_units_total,housing_units_vacant,median_year_built,avg_household_size,lor_total,lor_2019_or_later,lor_2015_2018,lor_2010_2014,lor_2000_2009,lor_1990_1999,lor_1989_or_earlier,lang_total,lang_english_only,lang_spanish,lang_french,lang_chinese,lang_vietnamese,lang_tagalog,lang_korean,renter_households_total,burden_30_35,burden_35_40,burden_40_50,burden_50_plus,nativity_total,pop_foreign_born,citizenship_total,pop_naturalized,pop_noncitizen,hh_lang_total,hh_limited_eng_spanish,hh_limited_eng_indoeuropean,hh_limited_eng_apilang,hh_limited_eng_other,pub_assist_total,pub_assist_or_snap,renter_hh_total,renter_hh_no_vehicle,GEO_ID,state,county,tract,inc_dist_total,inc_under_10k,inc_10_15k,inc_15_20k,inc_20_25k,inc_25_30k,inc_30_35k,id,pct_white,pct_black,pct_asian,pct_hispanic,unemployment,poverty_rate,vacancy_rate,occupancy_rate,rent_burden,pct_lor_2019_or_later,pct_lor_2015_2018,pct_lor_2010_2014,pct_lor_2000_2009,pct_lor_1990_1999,pct_lor_1989_or_earlier,pct_lang_english_only,pct_lang_spanish,pct_lang_french,pct_lang_chinese,pct_lang_vietnamese,pct_lang_tagalog,pct_lang_korean,pct_foreign_born,pct_naturalized,pct_noncitizen,pct_limited_eng_spanish,pct_limited_eng_indoeuropean,pct_limited_eng_apilang,pct_limited_eng_other,pct_limited_eng_any,pct_pub_assist_or_snap,pct_renter_no_vehicle,pct_under_35k
3269.0,2255.0,171.0,477.0,167.0,234236.0,142.0,3248.0,1728.0,87.0,3501.0,1496.0,119.0,1995.0,2.37,3269.0,415.0,22.0,119.0,266.0,0.0,0.0,,,,,,,,,127.0,0.0,0.0,8.0,0.0,3269.0,758.0,3269.0,493.0,265.0,1377.0,0.0,0.0,0.0,9.0,1377.0,57.0,127.0,0.0,1400000US06001400100,06,001,400100,1377.0,78.0,0.0,0.0,26.0,17.0,9.0,400100,69.0,5.2,14.6,5.1,5.0,4.4,8.0,92.0,6.3,12.7,0.7,3.6,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,15.1,8.1,0.0,0.0,0.0,0.7,0.7,4.1,0.0,9.4
2147.0,1500.0,38.0,251.0,159.0,225500.0,161.0,2147.0,1197.0,73.0,2500.0,913.0,37.0,1938.0,2.31,2020.0,815.0,65.0,161.0,454.0,123.0,0.0,,,,,,,,,386.0,9.0,0.0,5.0,28.0,2147.0,309.0,2147.0,191.0,118.0,876.0,0.0,3.0,0.0,0.0,876.0,6.0,386.0,76.0,1400000US06001400200,06,001,400200,876.0,6.0,21.0,0.0,7.0,0.0,0.0,400200,69.9,1.8,11.7,7.4,6.1,7.5,4.1,95.9,10.9,40.3,3.2,8.0,22.5,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,8.9,5.5,0.0,0.3,0.0,0.0,0.3,0.7,19.7,3.9
5619.0,3290.0,529.0,635.0,568.0,164000.0,396.0,5592.0,3608.0,258.0,2335.0,2851.0,213.0,1945.0,2.12,5589.0,3168.0,165.0,1113.0,1276.0,391.0,175.0,,,,,,,,,1691.0,205.0,146.0,93.0,189.0,5619.0,875.0,5619.0,612.0,263.0,2638.0,0.0,0.0,15.0,86.0,2638.0,157.0,1691.0,331.0,1400000US06001400300,06,001,400300,2638.0,124.0,91.0,0.0,54.0,54.0,24.0,400300,58.6,9.4,11.3,10.1,7.2,7.1,7.5,92.5,37.4,56.7,3.0,19.9,22.8,7.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,10.9,4.7,0.0,0.0,0.6,3.3,3.8,6.0,19.6,13.2
4278.0,2740.0,499.0,373.0,306.0,158836.0,419.0,4226.0,2543.0,5.0,2373.0,1975.0,215.0,1938.0,2.4,4224.0,2024.0,206.0,471.0,1108.0,141.0,44.0,,,,,,,,,887.0,15.0,0.0,17.0,171.0,4278.0,421.0,4278.0,264.0,157.0,1760.0,9.0,0.0,0.0,0.0,1760.0,156.0,887.0,199.0,1400000US06001400400,06,001,400400,1760.0,19.0,47.0,58.0,31.0,58.0,6.0,400400,64.0,11.7,8.7,7.2,0.2,9.9,10.9,89.1,22.9,47.9,4.9,11.2,26.2,3.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,6.2,3.7,0.5,0.0,0.0,0.0,0.5,8.9,22.4,12.4
3949.0,1638.0,993.0,370.0,612.0,95078.0,409.0,3941.0,2423.0,195.0,2175.0,1820.0,141.0,1938.0,2.35,3949.0,1918.0,323.0,720.0,608.0,209.0,8.0,,,,,,,,,878.0,99.0,23.0,55.0,225.0,3949.0,765.0,3949.0,471.0,294.0,1679.0,0.0,11.0,0.0,18.0,1679.0,135.0,878.0,143.0,1400000US06001400500,06,001,400500,1679.0,70.0,29.0,41.0,78.0,7.0,31.0,400500,41.5,25.1,9.4,15.5,8.0,10.4,7.7,92.3,45.8,48.6,8.2,18.2,15.4,5.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,11.9,7.4,0.0,0.7,0.0,1.1,1.7,8.0,16.3,15.2
2058.0,905.0,539.0,131.0,134.0,155893.0,174.0,2032.0,1375.0,45.0,2328.0,817.0,49.0,1938.0,2.66,2044.0,1141.0,114.0,216.0,508.0,183.0,80.0,,,,,,,,,458.0,42.0,0.0,6.0,101.0,2058.0,245.0,2058.0,179.0,66.0,768.0,0.0,0.0,7.0,0.0,768.0,76.0,458.0,67.0,1400000US06001400600,06,001,400600,768.0,25.0,55.0,0.0,0.0,0.0,19.0,400600,44.0,26.2,6.4,6.5,3.3,8.6,6.0,94.0,32.5,55.8,5.6,10.6,24.9,9.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,8.7,3.2,0.0,0.0,0.9,0.0,0.9,9.9,14.6,12.9
4758.0,2293.0,1101.0,398.0,470.0,110556.0,475.0,4758.0,3270.0,128.0,2162.0,2193.0,181.0,1938.0,2.36,4743.0,2872.0,177.0,942.0,1083.0,636.0,34.0,,,,,,,,,1265.0,111.0,0.0,77.0,207.0,4758.0,606.0,4758.0,356.0,250.0,2012.0,0.0,12.0,60.0,15.0,2012.0,284.0,1265.0,230.0,1400000US06001400700,06,001,400700,2012.0,96.0,31.0,32.0,67.0,82.0,20.0,400700,48.2,23.1,8.4,9.9,3.9,10.0,8.3,91.7,31.2,60.6,3.7,19.9,22.8,13.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,7.5,5.3,0.0,0.6,3.0,0.7,4.3,14.1,18.2,16.3
4335.0,2228.0,643.0,695.0,387.0,97132.0,478.0,4322.0,2908.0,91.0,2014.0,1988.0,103.0,1951.0,2.26,4258.0,2873.0,381.0,670.0,1545.0,182.0,19.0,,,,,,,,,1224.0,87.0,79.0,97.0,186.0,4335.0,847.0,4335.0,521.0,326.0,1885.0,18.0,0.0,93.0,0.0,1885.0,263.0,1224.0,184.0,1400000US06001400800,06,001,400800,1885.0,103.0,33.0,109.0,40.0,0.0,19.0,400800,51.4,14.8,16.0,8.9,3.1,11.1,5.2,94.8,36.7,67.5,8.9,15.7,36.3,4.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,12.0,7.5,1.0,0.0,4.9,0.0,5.9,14.0,15.0,16.1
2844.0,1052.0,692.0,174.0,533.0,114583.0,140.0,2844.0,2065.0,83.0,2197.0,1274.0,161.0,1938.0,2.55,2842.0,1863.0,74.0,272.0,1208.0,232.0,0.0,,,,,,,,,711.0,45.0,53.0,32.0,137.0,2844.0,492.0,2844.0,224.0,268.0,1113.0,0.0,32.0,0.0,9.0,1113.0,85.0,711.0,41.0,1400000US06001400900,06,001,400900,1113.0,18.0,10.0,0.0,33.0,39.0,18.0,400900,37.0,24.3,6.1,18.7,4.0,4.9,12.6,87.4,37.6,65.6,2.6,9.6,42.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,7.9,9.4,0.0,2.9,0.0,0.8,3.7,7.6,5.8,10.6
6277.0,2095.0,1478.0,464.0,1389.0,153654.0,709.0,6269.0,4265.0,248.0,2159.0,2674.0,372.0,1938.0,2.7,6223.0,3602.0,191.0,955.0,1721.0,689.0,16.0,,,,,,,,,1361.0,219.0,33.0,114.0,198.0,6277.0,913.0,6277.0,454.0,459.0,2302.0,12.0,0.0,31.0,49.0,2302.0,227.0,1361.0,334.0,1400000US06001401000,06,001,401000,2302.0,62.0,59.0,25.0,16.0,18.0,26.0,401000,33.4,23.5,7.4,22.1,5.8,11.3,13.9,86.1,41.4,57.9,3.1,15.3,27.7,11.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,7.2,7.3,0.5,0.0,1.3,2.1,4.0,9.9,24.5,8.9
