tract_2010,tract_2020,area_pct
400100,400100,0.9934
421600,400100,0.0054
422600,400100,0.0059
422700,400100,0.0045
423700,400100,0.0264
423800,400100,0.0
400200,400200,0.9867
423800,400200,0.0007
400300,400300,1.0
401100,400300,0.0057
400400,400400,0.9987
423902,400400,0.0404
400500,400500,0.9968
423901,400500,0.0092
400600,400600,1.0
400700,400700,0.9766
424001,400700,0.0189
400700,400800,0.0166
400800,400800,0.9898
400900,400800,0.031
422000,400800,0.0
424002,400800,0.0314
425103,400800,0.0014
400900,400900,0.9546
425104,400900,0.0028
401000,401000,0.9961
401100,401000,0.0053
401400,401000,0.0
401100,401100,0.9891
401200,401100,0.0004
401200,401200,0.9996
401300,401300,1.0
401400,401300,0.0045
401400,401400,0.9954
401500,401500,1.0
425104,401500,0.0015
401600,401600,1.0
401700,401700,0.9851
402200,401700,0.0024
425104,401700,0.0108
401800,401800,1.0
402200,401800,0.0033
402200,402200,0.9943
410500,402200,0.0105
402400,402400,1.0
402500,402500,1.0
402600,402600,1.0
402700,402700,0.9709
402700,402801,0.0291
402800,402801,0.7023
402800,402802,0.2977
402900,402900,1.0
403400,402900,0.0231
403000,403000,1.0
403100,403100,1.0
403300,403301,0.2145
403300,403302,0.7847
427300,403302,0.0
403400,403401,0.8276
403400,403402,0.1494
403501,403501,1.0
404000,403501,0.0039
403502,403502,0.9927
403502,403600,0.0073
403600,403600,0.9964
403702,403600,0.0156
403701,403701,1.0
403600,403702,0.0036
403702,403702,0.9844
403800,403800,0.9911
426100,403800,0.0001
426200,403800,0.0013
403900,403900,0.9964
404000,404000,0.9961
426200,404000,0.0008
404101,404101,0.9896
426200,404101,0.0
404102,404102,1.0
404101,404200,0.0069
404200,404200,0.9935
426100,404200,0.0038
404300,404300,0.9948
404400,404300,0.0005
404400,404400,0.9992
404501,404400,0.0084
404501,404501,0.9688
404700,404501,0.003
426100,404501,0.0
404502,404502,0.9922
404502,404600,0.0078
404600,404600,0.9865
430102,404600,0.0001
404700,404700,0.9915
404800,404800,1.0
404900,404900,0.9993
405000,405000,0.9915
405200,405000,0.0004
405100,405100,0.9969
405200,405200,0.9996
405301,405301,1.0
405302,405302,1.0
405401,405401,1.0
405402,405402,1.0
405500,405500,1.0
405600,405600,1.0
405700,405700,1.0
405800,405800,1.0
405901,405901,1.0
405902,405902,1.0
403300,406000,0.0009
406000,406000,0.9998
427300,406000,0.0
406000,406100,0.0002
406100,406100,1.0
406201,406201,1.0
406202,406202,1.0
406300,406300,1.0
406400,406400,1.0
406500,406500,1.0
406601,406601,1.0
406602,406602,1.0
406700,406700,1.0
406800,406800,1.0
406900,406900,1.0
407000,407000,1.0
407101,407101,1.0
407102,407102,1.0
407200,407200,1.0
407300,407300,1.0
407400,407400,1.0
407500,407500,1.0
407600,407600,1.0
407700,407700,0.9959
407800,407700,0.0
407700,407800,0.0041
407800,407800,0.9865
407900,407900,1.0
408000,408000,0.9988
