City,Census Tract,TANC Local,Match_ID,NAME,Total,White,Black,Asian,Hispanic,Median Rent,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,state,county,Tract_ID,Burdened_Households,Rent Burden
Albany,420600,Berkeley,420600,Census Tract 4206; Alameda County; California,3521.0,2282.0,39.0,484.0,255.0,2789.0,0.0,6.0,10.0,76.0,233.0,06,001,420600,92.0,39.5
Albany,420100,Berkeley,420100,Census Tract 4201; Alameda County; California,2656.0,1307.0,144.0,500.0,342.0,2783.0,29.0,29.0,0.0,36.0,188.0,06,001,420100,94.0,50.0
Albany,420200,Berkeley,420200,Census Tract 4202; Alameda County; California,3225.0,1135.0,150.0,1263.0,241.0,2614.0,26.0,81.0,8.0,74.0,655.0,06,001,420200,189.0,28.9
Albany,420500,Berkeley,420500,Census Tract 4205; Alameda County; California,2474.0,1181.0,60.0,549.0,485.0,2689.0,29.0,18.0,25.0,102.0,455.0,06,001,420500,174.0,38.2
Albany,420401,Berkeley,420401,Census Tract 4204.01; Alameda County; California,1438.0,398.0,7.0,470.0,438.0,2307.0,46.0,7.0,46.0,153.0,456.0,06,001,420401,252.0,55.3
Albany,420402,Berkeley,420402,Census Tract 4204.02; Alameda County; California,1607.0,524.0,53.0,558.0,404.0,2071.0,19.0,39.0,41.0,181.0,602.0,06,001,420402,280.0,46.5
Albany,420301,Berkeley,420301,Census Tract 4203.01; Alameda County; California,2466.0,894.0,82.0,1011.0,229.0,2495.0,43.0,28.0,10.0,108.0,436.0,06,001,420301,189.0,43.3
Albany,420302,Berkeley,420302,Census Tract 4203.02; Alameda County; California,2381.0,967.0,112.0,855.0,168.0,2344.0,41.0,65.0,81.0,129.0,534.0,06,001,420302,316.0,59.2
Berkeley,421100,Berkeley,421100,Census Tract 4211; Alameda County; California,2127.0,1572.0,38.0,216.0,79.0,2306.0,0.0,0.0,0.0,0.0,95.0,06,001,421100,0.0,0.0
Berkeley,421200,Berkeley,421200,Census Tract 4212; Alameda County; California,3503.0,2371.0,9.0,696.0,120.0,2863.0,9.0,6.0,0.0,0.0,66.0,06,001,421200,15.0,22.7
Berkeley,421300,Berkeley,421300,Census Tract 4213; Alameda County; California,4041.0,2886.0,9.0,573.0,124.0,1194.0,26.0,9.0,17.0,93.0,336.0,06,001,421300,145.0,43.2
Berkeley,421400,Berkeley,421400,Census Tract 4214; Alameda County; California,1770.0,1302.0,18.0,129.0,246.0,2848.0,0.0,0.0,9.0,22.0,77.0,06,001,421400,31.0,40.3
Berkeley,421500,Berkeley,421500,Census Tract 4215; Alameda County; California,4122.0,3322.0,46.0,316.0,250.0,2877.0,9.0,13.0,52.0,36.0,287.0,06,001,421500,110.0,38.3
Berkeley,421600,Berkeley,421600,Census Tract 4216; Alameda County; California,3896.0,2727.0,79.0,404.0,288.0,2284.0,0.0,37.0,66.0,41.0,340.0,06,001,421600,144.0,42.4
Berkeley,421700,Berkeley,421700,Census Tract 4217; Alameda County; California,3427.0,2364.0,125.0,711.0,143.0,2046.0,44.0,52.0,44.0,243.0,1103.0,06,001,421700,383.0,34.7
Berkeley,421800,Berkeley,421800,Census Tract 4218; Alameda County; California,2193.0,1444.0,32.0,309.0,124.0,2928.0,12.0,20.0,33.0,24.0,316.0,06,001,421800,89.0,28.2
Berkeley,421900,Berkeley,421900,Census Tract 4219; Alameda County; California,4109.0,2351.0,399.0,741.0,264.0,2329.0,18.0,45.0,67.0,141.0,638.0,06,001,421900,271.0,42.5
Berkeley,422000,Berkeley,422000,Census Tract 4220; Alameda County; California,2346.0,1140.0,129.0,541.0,224.0,3257.0,85.0,38.0,129.0,276.0,1014.0,06,001,422000,528.0,52.1
Berkeley,422100,Berkeley,422100,Census Tract 4221; Alameda County; California,3103.0,1590.0,239.0,420.0,571.0,1979.0,73.0,20.0,79.0,191.0,686.0,06,001,422100,363.0,52.9
Berkeley,422200,Berkeley,422200,Census Tract 4222; Alameda County; California,3239.0,1847.0,107.0,503.0,254.0,1989.0,64.0,35.0,20.0,132.0,772.0,06,001,422200,251.0,32.5
Berkeley,422300,Berkeley,422300,Census Tract 4223; Alameda County; California,3626.0,1951.0,393.0,738.0,178.0,2280.0,47.0,48.0,124.0,255.0,1115.0,06,001,422300,474.0,42.5
Berkeley,422400,Berkeley,422400,Census Tract 4224; Alameda County; California,3970.0,1566.0,189.0,1432.0,445.0,2268.0,58.0,161.0,290.0,327.0,1565.0,06,001,422400,836.0,53.4
Berkeley,422500,Berkeley,422500,Census Tract 4225; Alameda County; California,4546.0,1982.0,234.0,1402.0,611.0,1860.0,28.0,62.0,291.0,505.0,1392.0,06,001,422500,886.0,63.6
Berkeley,422700,Berkeley,422700,Census Tract 4227; Alameda County; California,5015.0,1645.0,148.0,1896.0,815.0,1895.0,25.0,12.0,8.0,441.0,838.0,06,001,422700,486.0,58.0
Berkeley,422800,Berkeley,422800,Census Tract 4228; Alameda County; California,9183.0,2150.0,692.0,3592.0,1924.0,1822.0,168.0,82.0,96.0,656.0,1490.0,06,001,422800,1002.0,67.2
Berkeley,422901,Berkeley,422901,Census Tract 4229.01; Alameda County; California,1889.0,659.0,72.0,1022.0,63.0,2078.0,0.0,56.0,44.0,267.0,857.0,06,001,422901,367.0,42.8
Berkeley,422902,Berkeley,422902,Census Tract 4229.02; Alameda County; California,2370.0,738.0,92.0,889.0,227.0,1866.0,129.0,6.0,26.0,489.0,1335.0,06,001,422902,650.0,48.7
Berkeley,423000,Berkeley,423000,Census Tract 4230; Alameda County; California,4526.0,2716.0,217.0,799.0,574.0,2345.0,98.0,16.0,144.0,512.0,1225.0,06,001,423000,770.0,62.9
Berkeley,423100,Berkeley,423100,Census Tract 4231; Alameda County; California,4187.0,1638.0,828.0,719.0,539.0,2123.0,118.0,69.0,96.0,600.0,1312.0,06,001,423100,883.0,67.3
Berkeley,423200,Berkeley,423200,Census Tract 4232; Alameda County; California,2874.0,1258.0,427.0,142.0,889.0,1975.0,45.0,35.0,158.0,209.0,773.0,06,001,423200,447.0,57.8
Berkeley,423300,Berkeley,423300,Census Tract 4233; Alameda County; California,3438.0,1621.0,583.0,289.0,544.0,1754.0,38.0,32.0,0.0,220.0,611.0,06,001,423300,290.0,47.5
Berkeley,423400,Berkeley,423400,Census Tract 4234; Alameda County; California,5581.0,2568.0,943.0,770.0,918.0,2324.0,166.0,129.0,16.0,254.0,1267.0,06,001,423400,565.0,44.6
Berkeley,423500,Berkeley,423500,Census Tract 4235; Alameda County; California,3537.0,1989.0,366.0,429.0,493.0,1947.0,186.0,50.0,137.0,210.0,1104.0,06,001,423500,583.0,52.8
Berkeley,423601,Berkeley,423601,Census Tract 4236.01; Alameda County; California,2717.0,1656.0,106.0,350.0,373.0,2211.0,57.0,0.0,63.0,151.0,610.0,06,001,423601,271.0,44.4
Berkeley,423602,Berkeley,423602,Census Tract 4236.02; Alameda County; California,6739.0,3409.0,145.0,2056.0,659.0,2183.0,83.0,44.0,147.0,830.0,1634.0,06,001,423602,1104.0,67.6
Berkeley,423700,Berkeley,423700,Census Tract 4237; Alameda County; California,3537.0,1982.0,109.0,733.0,488.0,2049.0,22.0,68.0,69.0,203.0,639.0,06,001,423700,362.0,56.7
